,id,product_type,product_name,color_description,scent_description,taste_description,fruit_tasting,sugar_tasting,acidity_tasting,tannin_tasting,harmonizes_with,technical_sheet_wine_type,technical_sheet_volume,technical_sheet_closure_type,technical_sheet_service_temperature_in_celsius,technical_sheet_country,technical_sheet_region,technical_sheet_alcohol_content,technical_sheet_grapes,technical_sheet_producer,technical_sheet_crop_year,technical_sheet_cellaring_time,technical_sheet_maturation_time,specialist_review_content,specialist_review_owner,specialist_review_occupation,url
0,644,Vinho tinto francês,La Chaise des Papes Châteauneuf-du-Pape AOC 2022,Vermelho-rubi intenso,"Aromas intensos de frutas pretas e vermelhas, e notas de especiarias, como pimenta branca","Concentrado, com acidez refrescante",3,1,4,2,,Vinho tinto,750ml,Rolha natural,16,França,Vale do Rhône,15,"Blend, Cinsault, Grenache, Syrah",Domaine Albin Jacumin,2022,2027,12 meses em barricas de carvalho e tanques de concreto,"No coração do Vale do Rhône, a vinícola familiar Domaine Albin Jacumin cria rótulos com tradição e paixão que expressam o melhor do terroir francês. E La Chaise des Papes Châteauneuf-du-Pape AOC reflete essa herança por meio de um blend produzido com as uvas Grenache, Syrah e Cinsault. Após amadurecer 12 meses em barricas de carvalho e tanques de concreto, ele entrega taninos macios, e teor alcoólico elevado que é equilibrado pela potência de frutas pretas e vermelhas no nariz, com acidez refrescante no paladar. ",Vinícius Santiago,Sommelier da evino,
1,645,Vinho rosé português,Travessia Rosé,Rosa claro brilhante,"Aroma fresco de frutas vermelhas, como morango, e notas florais","Equilibrado, macio e refrescante",3,1,4,1,,Vinho rosé,750ml,Rolha de cortiça,10,Portugal,Multirregional,11.5,Uvas variadas,JAWS,2020,2025,,,Ari Gorenstein,Sommelier da evino,
3,647,Vinho tinto italiano,Stardust Edição Limitada Taurus Rosso Piemonte DOC 2020,Vermelho-rubi brilhante,"Intenso, com notas de cereja, e frutas silvestres em compota","Equilibrado, frutado, fresco, agradável e macio",4,1,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Risoto e massas de molho branco",Vinho tinto,750ml,Rolha de cortiça,18,Itália,Piemonte,13.5,Barbera,Mondo del Vino,2020,2025,,,Vinícius Santiago,Sommelier da evino,
11,642,Vinho tinto argentino,La Grupa Cabernet Sauvignon Gran Selección 2023,Vermelho-rubi intenso com reflexos violáceos,"Notas de frutas vermelhas e pretas maduras, com toques de especiarias","Aveludado, com taninos firmes, acidez equilibrada e final complexo e intenso",4,1,3,3,"Carnes de caça, Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha sintética,18,Argentina,Mendoza,13,Cabernet Sauvignon,,2023,2025,,,Vinícius Santiago,Sommelier da evino,
21,604,Vinho rosé chileno,San Nazareno Winemaker Selection Rosé 2024,Rosa pálido,Aromas florais com notas de morango e cereja,Refrescante e de acidez agradável,4,1,3,1,"Carnes brancas, Frutos do mar, Saladas e aperitivos",Vinho rosé,750ml,Rolha de cortiça,8,Chile,Valle del Maule,12.5,Blend,Bodegas y Viñedos de Aguirre,2024,2027,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/bodega-y-vinedo-de-aguirre-san-nazareno-rose-2024.html
28,656,Vinho branco português,Travessia Branco,Amarelo-citrino,Aromas de frutas cítricas,"Refrescante e harmonioso, com acidez agradável",3,1,3,1,"Carnes brancas, Frutos do mar, Risoto e massas de molho branco",Vinho branco,750ml,Rolha natural,6,Portugal,,12,"Siria, Fonte da Cal",,,2025,,,Vinícius Santiago,Sommelier da evino,"https://res.cloudinary.com/evino/image/upload/q_auto:good,fl_progressive:steep,f_auto,dpr_1.0,h_400/v1/products/1000004849-standing-front.png"
29,658,Vinho tinto italiano,San Cristaldo in Fonteroma Primitivo Di Puglia 2021,Vermelho-rubi profundo,"Aromas de frutas vermelhas maduras, com leves notas de alcatrão e alcaçuz","Encorpado e intenso, com taninos marcados",4,1,3,4,,Vinho tinto,750ml,Rolha de cortiça,18,Itália,,13,Primitivo,,2021,2025,Estágio em tanques de aço inoxidável,"A região da Puglia é conhecida por sua relação com a vitivinicultura. Neste território vinícola, famoso por gerar vinhos de qualidade, a Primitivo é a uva mais cultivada. E foi ela que originou este rótulo marcante, encorpado, e com aromas intensos de frutas pretas maduras e alcaçuz. Para harmonizar com este vinho, carnes vermelhas com sabor intenso e massas com molho de carne são uma ótima opção.",Vinícius Santiago,Sommelier da evino,
35,663,Vinho rosé espanhol,Castillo De Soldepeñas Rosado Tempranillo,Rosa claro,Aromas de frutas vermelhas,"Harmônico e refrescante, com final persistente",4,1,3,1,"Carnes brancas, Frutos do mar",Vinho rosé,750ml,Tampa de rosca,8,Espanha,,11,Tempranillo,,,2027,,,Vinícius Santiago,Sommelier da evino,
43,669,Vinho tinto chileno,El Origen Winemaker Selection del Limarí Cabernet Sauvignon 2024,Vermelho-rubi intenso,Aromas de frutas vermelhas frescas,"Redondo, com taninos macios e maduros",4,1,3,3,,Vinho tinto,750ml,Rolha de cortiça,18,Chile,,12.5,Cabernet Sauvignon,,2024,2027,,,Vinícius Santiago,Sommelier da evino,
46,672,Vinho branco argentino,Las Colinas de Los Andes White Blend 2024,Amarelo-palha brilhante com reflexos esverdeados,"Notas intensas de frutas cítricas e tropicais, com sutis toques florais","Equilibrado e persistente, com frescor intenso e notas de frutas cítricas",5,1,4,1,"Carnes brancas, Frutos do mar, Queijos, Risoto e massas de molho branco, Saladas e aperitivos",Vinho branco,750ml,Rolha sintética,9,Argentina,Mendoza,12.5,Uvas variadas,,2024,2025,,,Vinícius Santiago,Sommelier da evino,
